Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
DEATH NOTE: Kira Game,DS,2007,Adventure,Konami Digital Entertainment,0,0,0,,,,,"",""
Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,1.54,0.44,0.07,,,,,"",""
Discovery Kids: Dolphin Discovery,DS,2008,Simulation,505 Games,0.2,0,0.01,,,,,505 Games,E
Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0.03,,,,,"",""
Army Men: Air Combat,N64,2000,Action,3DO,0.19,0.05,0,,,,,"",""
Minna no Joushiki Ryoku TV,Wii,2008,Misc,Nintendo,0,0,0,,,,,"",""
Backyard Sports: Sandlot Sluggers,Wii,2010,Sports,Atari,0.14,0,0.01,,,,,HB Studios Multimedia,E
Street Fighter V,PC,2016,Fighting,Capcom,0,0.05,0,74,33,2.9,431,Capcom,T
Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,Marvelous Interactive,0.01,0,0,70,33,6.9,28,"Examu, Marvelous Inc.",T
Suzumiya Haruhi no Chokuretsu,DS,2009,Adventure,Sega,0,0,0,,,,,"",""
Rugby World Cup 2011,X360,2011,Sports,505 Games,0.03,0.21,0.04,55,14,3.9,13,HB Studios Multimedia,E
Blazblue: Continuum Shift Extend,PSV,2011,Fighting,PQube,0.03,0.05,0.02,83,28,7.5,97,Arc System Works,T
Tyco RC: Assault with a Battery,PS,1999,Racing,Syscom,0.06,0.04,0.01,,,,,"",""
Combat Flight Simulator 3: Battle for Europe,PC,2002,Simulation,Microsoft Game Studios,0.01,0.01,0,69,16,6.5,22,Microsoft Game Studios,E
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0,0.18,71,11,6.3,15,BudCat,T
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0.13,66,32,7.6,30,EA Canada,E
Guilty Gear Judgment,PSP,2006,Fighting,Majesco Entertainment,0.13,0,0.01,77,17,6.6,8,Arc System Works,T
NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.15,0.07,86,33,7.5,52,Electronic Arts,E10+
True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0.02,77,29,7.3,29,Exakt,M
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0.15,69,50,6.3,31,Harmonix Music Systems,T
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.09,0.03,0,,,,,"",""
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.67,0.06,,,,,"",""
Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.89,0.3,87,31,7.8,790,Rockstar Studios,M
The Godfather (JP sales),X360,2006,Action,Electronic Arts,0,0,0,,,,,"",""
World Soccer Winning Eleven 9 Bonus Pack,PS2,2006,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
UFC Undisputed 3,X360,2012,Action,THQ,0.72,0.2,0.08,85,60,7.6,88,Yuke's,T
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0,0,51,28,5.5,39,Stainless Games,M
Cooking Mama 3: Shop & Chop,DS,2009,Simulation,505 Games,0.79,0.65,0.17,,,,,"",""
L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,0.08,0.13,0.03,83,28,7.9,903,Rockstar Leeds,M
Dynasty Warriors: Eiketsuden,PSV,2016,Action,Tecmo Koei,0,0,0,,,,,"",""
J Legend Retsuden,3DS,2013,Misc,Namco Bandai Games,0,0,0,,,,,"",""
NHRA Championship Drag Racing,PS2,2005,Racing,ValuSoft,0.12,0.09,0.03,,,9.1,20,Lucky Chicken,E
Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.13,0.1,0.03,53,16,7.3,11,Human Head Studios,M
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0.08,86,53,8.4,108,Criterion Games,E10+
Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,0.1,0.04,0,,,,,"",""
Looney Tunes: Back in Action,PS2,2003,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0.06,51,9,7.5,6,Warthog,E
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Candace Kane's Candy Factory,DS,2008,Action,Destineer,0.04,0,0,,,,,F84 Games,E
Ouran Koukou Host Bu,PS2,2007,Adventure,Idea Factory,0,0,0,,,,,"",""
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.16,73,28,7.2,9,TOSE,E10+
Nikoli's Pencil Puzzle,3DS,2011,Puzzle,Hudson Soft,0.05,0.03,0.01,61,7,,,NATSUME ATARI Inc.,E
Dead Rising,XOne,2016,Action,Capcom,0.01,0,0,,,8.8,12,Capcom,M
FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,0.05,0.01,0,83,17,6.2,12,EA Canada,E
Puyo Puyo! 15th Anniversary,DS,2006,Puzzle,Sega,0,0,0,,,,,"",""
The Suffering: Ties That Bind,PS2,2005,Action,Midway Games,0.09,0.07,0.02,75,37,8,23,Surreal Software,M
Saiyuki: Journey West,PS,1999,Strategy,Tecmo Koei,0.03,0.02,0,73,9,7.1,9,Koei,E
Zoo Tycoon 2 DS,DS,2008,Strategy,THQ,0.24,0.03,0.02,60,17,5.4,7,Altron,E
HatsuKare * Renai Debut Sengen!,PSP,2013,Adventure,FuRyu,0,0,0,,,,,"",""
So Blonde,PC,2008,Adventure,Eidos Interactive,0,0.02,0,,,,,"",""
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,1.01,93,81,8.9,1662,Game Arts,T
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.12,0.19,0.11,,,,,1st Playable Productions,E
Sotsugyou Crossworld,PS,1996,Simulation,Hearty Robin,0,0,0.01,,,,,"",""
Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.44,0.13,90,83,8.6,679,Visceral Games,M
The Crew,XOne,2014,Racing,Ubisoft,0.25,0.34,0.05,64,18,5.9,176,"Ubisoft Reflections, Ivory Tower",T
California Speed,N64,1999,Misc,Midway Games,0.13,0.03,0,,,,,"",""
War for the Overworld,PC,2015,Strategy,Unknown,0,0.01,0,65,14,7.7,90,Subterranean Games,""
Automobili Lamborghini,N64,1997,Racing,Titus,0.28,0.17,0.01,,,,,"",""
Tiger Woods PGA Tour 2001,PS2,2001,Sports,Electronic Arts,0.36,0.28,0.09,74,19,,,Stormfront Studios,E
Victorious: Hollywood Arts Debut,DS,2011,Misc,D3Publisher,0.13,0.01,0.01,,,,,Behaviour Interactive,E
Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.01,76,24,7.4,37,Konami,E10+
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,1.39,0.86,,,,,"",""
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.74,0.05,0.07,,,,,"",""
Conception: Please Give Birth to My Child!,PSP,2012,Role-Playing,Spike,0,0,0,,,,,"",""
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000,Sports,Konami Digital Entertainment,0,0,0.01,,,,,"",""
Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015,Action,Idea Factory,0,0,0,,,,,"",""
Expendable,PS,1999,Action,Infogrames,0.03,0.02,0,,,,,"",""
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
Street Fighter Collection,PS,1997,Fighting,Capcom,0,0,0.01,,,,,"",""
Cabela's Dangerous Hunts,XB,2003,Sports,Zoo Digital Publishing,0.26,0.08,0.01,,,9.1,22,FUN Labs,T
Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.12,84,72,7.5,533,Crytek,M
Brothers In Arms DS,DS,2007,Shooter,Ubisoft,0.03,0,0,72,27,8,25,Gameloft,T
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.22,75,42,7.2,166,Nixxes Software,T
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0,,,,,"",""
Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.02,,,,,"",""
Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL,0.17,0.18,0.04,,,,,49Games,E
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,1.06,74,15,7.8,16,Ubisoft,E10+
Ozzy & Drix,GBA,2003,Platform,Midway Games,0.01,0,0,,,,,"",""
Rugby World Cup 2015,PS3,2015,Sports,Ubisoft,0,0.05,0.01,,,,,HB Studios Multimedia,E
Nendoroid Generation,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0,,,,,"",""
WipEout 3,PS,1999,Racing,Psygnosis,0.19,0.13,0.02,89,14,8.5,15,Psygnosis,E
Cartoon Network Racing,DS,2006,Action,Game Factory,0.04,0,0,55,13,,,Firebrand Games,E
Shadow The Hedgehog,GC,2005,Platform,Sega,0.76,0.2,0.03,51,22,6.6,120,Sonic Team,E10+
FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.89,0.4,84,41,4.2,435,EA Canada,E
Red Faction II,XB,2003,Shooter,THQ,0.09,0.03,0,74,20,5.8,11,Outrage Games,M
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.83,0.66,0.18,86,68,7.9,1346,Blizzard Entertainment,T
Syndicate,X360,2012,Shooter,Electronic Arts,0.1,0.06,0.02,74,65,7.1,174,Starbreeze,M
FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.16,0.32,0.08,79,45,7.2,79,Electronic Arts,E
FIFA Street 2,XB,2006,Sports,Electronic Arts,0.06,0.02,0,63,30,7.1,9,EA Canada,E
Tales of the World: Narikiri Dungeon 2,GBA,2002,Role-Playing,Namco Bandai Games,0,0,0,,,,,"",""
How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.04,0.13,0.01,,,,,Torus Games,E10+
Farming Simulator 2013,PS3,2013,Simulation,Focus Home Interactive,0,0.09,0.02,40,17,2.9,9,Giants Software,E
Wipeout 2,DS,2011,Misc,Activision,0.23,0,0.02,,,,,Endemol,E
Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0,0.01,62,10,,,GungHo,T
Viking: Battle for Asgard,X360,2008,Action,Sega,0.16,0.23,0.05,68,67,8,88,Creative Assembly,M
XIII,XB,2003,Shooter,Ubisoft,0.16,0.08,0.01,74,38,8.3,15,Southend Interactive,M
Metal Gear Solid HD Edition,X360,2011,Action,Konami Digital Entertainment,0,0,0,,,,,Konami,M
Star Wars: Lethal Alliance,DS,2006,Action,Ubisoft,0.08,0.01,0.01,57,15,,,Ubisoft Casablanca,E10+
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010,Action,Takara Tomy,0,0,0,,,,,"",""
Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,0.2,0,0.02,73,19,7.7,14,"Image Epoch, Imageepoch",T
Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0.01,,,,,"",""
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.92,0.6,0.14,,,,,"",""
WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ,0.56,0.37,0.1,80,59,8.4,36,Yuke's,T
Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,Ubisoft,0.19,0.05,0.01,81,30,8.3,8,Ubisoft Montpellier,T
Animal Kingdom: Wildlife Expedition,Wii,2009,Adventure,Natsume,0.07,0,0.01,,,,,Success,E
Samurai Shodown II,NG,1994,Fighting,SNK,0,0,0,,,,,"",""
DOA 2: Dead or Alive 2 Hardcore,PS2,2000,Fighting,Tecmo Koei,0,0,0,,,,,"",""
Batman: The Brave and the Bold the Videogame,DS,2010,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.02,74,14,8,8,WayForward,E10+
Monster Madness: Battle for Suburbia,X360,2007,Shooter,SouthPeak Games,0.1,0,0.01,55,29,5.2,18,"Artificial Studios, Immersion Software & Graphics",T
The Lord of the Rings: Aragorn's Quest,DS,2010,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0.01,,,,,Headstrong Games,E10+
Saint Seiya: Soldiers' Soul,PS3,2015,Fighting,Namco Bandai Games,0,0,0,,,6.3,4,Dimps Corporation,T
Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0.1,84,32,8.1,41,EA Chicago,T
Call of Duty: The War Collection,X360,2010,Shooter,Activision,0.05,0,0,,,,,"Treyarch, Infinity Ward",M
Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.07,72,47,7.6,70,Digital Extremes,M
Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,0.42,0.25,0.11,81,38,7.7,9,EA Tiburon,E
Pro Yaky? Spirits 2011,3DS,2011,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,0.11,0.08,0.03,,,,,"",""
Monster House,GBA,2006,Adventure,THQ,0.06,0.02,0,69,10,9,4,Artificial Mind and Movement,E
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,2007,Misc,Hackberry,0,0,0,,,,,"",""
We Sing Pop!,Wii,2012,Misc,Nordic Games,0.05,0.15,0.02,,,,,"",""
Lucian Bee's: Resurrection Supernova,PS2,2009,Adventure,5pb,0,0,0,,,,,"",""
Jacqueline Wilson's Tracy Beaker: The Game,DS,2009,Misc,P2 Games,0,0.05,0,,,,,"",""
Skylanders Giants,3DS,2012,Action,Activision,0.12,0.01,0.01,59,9,5,13,n-Space,E10+
Gumby vs. the Astrobots,GBA,2005,Action,Namco Bandai Games,0.03,0.01,0,63,4,,,Torus Games,E
NASCAR 07,XB,2006,Racing,Electronic Arts,0.03,0.01,0,72,26,7,4,EA Tiburon,E
Rhapsody: A Musical Adventure,PS,1998,Role-Playing,Nippon Ichi Software,0.02,0.01,0,,,,,"",""
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.35,0.15,85,62,8,468,Mercury Steam,M
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,Genki,0.09,0.07,0.02,59,13,8.6,15,Genki,E
Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.48,0.06,0.05,83,46,8.6,55,HAL Labs,E
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,0.14,0.15,0.08,63,4,,,Traveller's Tales,E10+
NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment,0.09,0.07,0.02,49,10,,,989 Sports,E
Super Robot Taisen OG Infinite Battle,PS3,2013,Fighting,Namco Bandai Games,0,0,0,,,,,"",""
Spartan: Total Warrior,XB,2005,Action,Sega,0.1,0.03,0,73,36,8.8,12,Creative Assembly,M
Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.02,,,,,"",""
Majin Tensei,SNES,1994,Role-Playing,Atlus,0,0,0,,,,,"",""
Disgaea D2: A Brighter Darkness,PS3,2013,Role-Playing,Nippon Ichi Software,0.09,0,0.02,74,37,8.1,61,Nippon Ichi Software,T
Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.15,0.06,64,41,6.9,262,Vatra,M
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0,0.01,57,9,6.3,10,TOSE,E10+
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0,,,,,"",""
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,2007,Misc,Shogakukan,0,0,0,,,,,"",""
Dynasty Warriors 5 Empires,PS2,2006,Action,Tecmo Koei,0.11,0.09,0.03,62,23,9.1,24,Omega Force,T
Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,0.14,0.13,0.03,81,25,6.6,1097,Big Huge Games,M
Dynasty Warriors Vol. 2,PSP,2006,Action,Tecmo Koei,0.04,0,0,57,28,8.1,8,Omega Force,T
WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0.03,83,21,8.5,43,Studio Liverpool,E
Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
Imabikisou,PS3,2007,Adventure,Sega,0,0,0,,,,,"",""
Hakuouki: Yuugi Roku DS,DS,2011,Adventure,Idea Factory,0,0,0,,,,,"",""
Minority Report: Everybody Runs,PS2,2002,Action,Activision,0.2,0.15,0.05,50,26,5,14,Treyarch,T
Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,D3Publisher,0.25,0.14,0.04,65,5,4,6,Papaya Studios,E10+
Kung Fu Panda: Legendary Warriors,Wii,2008,Action,Activision,0.07,0,0,,,,,"",""
Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0,,,,,"",""
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0,0.03,0.01,76,4,6.3,17,Omega Force,T
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.79,0.19,80,37,7.6,127,TT Games,E10+
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,Ubisoft,0.05,0.02,0,68,19,6.2,6,Ubisoft,T
Fate/kaleid liner Prisma Illya,3DS,2014,Action,Kadokawa Games,0,0,0,,,,,"",""
Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0.04,,,5.3,16,Powerhead Games,E
Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.04,,,,,"",""
Knights Contract,X360,2011,Action,Namco Bandai Games,0.05,0.03,0.01,49,41,5.6,16,Game Republic,M
The Clique: Diss and Make Up,DS,2009,Adventure,Warner Bros. Interactive Entertainment,0.11,0,0.01,,,,,Gorilla Systems,E10+
NBA 06,PS2,2005,Sports,Sony Computer Entertainment,0.26,0.2,0.07,63,26,6.3,27,SCEA Sports Studio,E
King of Fighters: Maximum Impact Regulation A,PS2,2007,Fighting,SNK Playmore,0,0,0,,,,,"",""
My Fun Facts Coach,DS,2008,Misc,Ubisoft,0.07,0,0.01,,,,,Powerhead Games,E
de Blob 2,PS3,2011,Platform,THQ,0.11,0.07,0.03,74,50,7.1,34,Blue Tongue Entertainment,E10+
Spider-Man: Friend or Foe,PC,2007,Action,Activision,0.01,0,0,57,9,5.3,11,Beenox,E10+
Monster Jam,X360,2007,Racing,Activision,0.18,0,0.02,43,9,6.4,5,Torus Games,E
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0,,,,,"",""
Dance Dance Revolution Universe 3,X360,2008,Simulation,Konami Digital Entertainment,0.28,0,0.02,65,6,7.7,7,Konami,E
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.05,89,40,8.3,317,Atlus,M
J-League Pro Soccer Club wo Tsukurou!,SAT,1996,Sports,Sega,0,0,0,,,,,"",""
Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,1.01,0.85,0.35,71,47,6.6,233,LucasArts,T
Bejeweled 3,DS,,Puzzle,Unknown,0.29,0.02,0.02,75,9,,,PopCap,E
Iron Storm,SAT,1995,Shooter,Sega,0,0,0,,,,,"",""
Blitz: Overtime,PSP,2006,Sports,Midway Games,0.09,0,0.01,,,7.5,4,Midway,M
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0.16,76,47,8.3,136,Rockstar North,M
Top Gun: Firestorm Advance,GBA,2002,Shooter,Titus,0.07,0.02,0,,,,,"",""
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
Jambo! Safari Animal Rescue,DS,2009,Simulation,Sega,0.01,0,0,,,,,"",""
Clever Kids: Pirates,DS,2008,Misc,Midas Interactive Entertainment,0,0.03,0,,,,,"",""
Rimo-Cocoron,PS2,2001,Action,Sony Computer Entertainment,0,0,0,,,,,"",""
Art of Fighting 3: The Path of the Warrior,NG,1996,Fighting,SNK,0,0,0,,,,,"",""
Constantine,PS2,2005,Action,SCi,0.05,0.04,0.01,58,29,7.4,24,Bits Studios,M
Pop'n Music Portable,PSP,2010,Misc,Konami Digital Entertainment,0,0,0,,,,,"",""
World Racing,XB,2003,Racing,TDK Mediactive,0.05,0.01,0,56,14,8.1,8,Synetic,E
Diabolik Lovers: Dark Fate,PSV,2015,Action,Idea Factory,0,0,0,,,,,"",""
Dynasty Warriors 7: Empires,PS3,2012,Action,Ubisoft Annecy,0,0,0,63,20,8,22,Omega Force,T
Poupee Girl DS,DS,2009,Misc,Alvion,0,0,0,,,,,"",""
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0.01,45,30,5.4,16,Visual Concepts,T
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.2,85,47,7.4,67,Sega AM2,T
Grand Slam,PS,1997,Misc,Virgin Interactive,0.02,0.02,0,,,,,"",""
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,FuRyu,0,0,0,,,,,"",""
F1 2013,X360,2013,Racing,Codemasters,0.01,0.27,0.02,79,29,6.6,33,Codemasters,E
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0,0,0,,,,,"",""
Create,PC,2010,Action,Electronic Arts,0.04,0.01,0.01,54,7,6.8,9,EA Bright Light,E
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,2010,Adventure,Yeti,0,0,0,,,,,"",""
Supremacy MMA,X360,2011,Fighting,505 Games,0.05,0.02,0.01,49,17,6.2,11,Kung Fu Factory,M
Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,Adventure,Idea Factory,0,0,0,,,,,"",""
Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0,0.02,46,5,3.6,5,Gorilla Systems,E10+
Chopper Attack,N64,1997,Action,GT Interactive,0.09,0.02,0,,,,,"",""
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.14,0.06,73,26,7.5,100,CyberConnect2,T
Witches & Vampires: The Secrets of Ashburry,DS,2010,Adventure,DTP Entertainment,0.05,0.02,0.01,,,,,"",""
Frogger's Journey: The Forgotten Relic,GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0,59,6,,,Konami Computer Entertainment Hawaii,E
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0.01,81,66,7.5,23,Day 1 Studios,T
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0.05,85,46,8.1,196,Codemasters,E
Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.01,0.04,73,41,8.1,21,"Screenlife Games, WXP",T
Last Ranker,PSP,2010,Role-Playing,Capcom,0,0,0,,,,,"",""
The Wild West,DS,2007,Action,Majesco Entertainment,0.01,0,0,35,5,,,Happy Happening,E10+
Portal Runner,PS2,2001,Platform,3DO,0.06,0.05,0.02,53,18,6.7,6,3DO,E
Super Sentai Battle: Ranger Cross,Wii,2011,Action,Namco Bandai Games,0,0,0,,,,,"",""
SpongeBob SquigglePants 3D,3DS,2011,Misc,THQ,0.13,0.05,0.02,64,8,6,8,WayForward,E
WRC 5: FIA World Rally Championship,PS3,2015,Sports,Bigben Interactive,0.02,0.05,0.01,,,,,"",""
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0,,,,,"",""
Marvel Super Hero Squad,PS2,2009,Fighting,THQ,0.14,0.11,0.04,,,,,THQ,E10+
Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,0.39,0.14,0.02,68,25,6.7,9,Acclaim,M
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,0.93,1.1,0.45,,,,,"",""
Hello Kitty Daily,DS,2008,Misc,Nobilis,0.32,0,0.03,,,,,"",""
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0.01,61,37,6.6,19,Climax Group,T
City Builder,Wii,2010,Misc,Virtual Play Games,0.04,0,0,,,,,Collision Studios,E
Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment,0.05,0,0,30,15,3.5,36,Artoon,M
Blast Corps,N64,1997,Action,Nintendo,0.39,0.09,0.06,,,,,"",""
Ragnarok Odyssey,PS3,2014,Role-Playing,GungHo,0.03,0,0.01,,,,,"",""
Rio,DS,2011,Misc,THQ,0.12,0.03,0.01,59,5,,,THQ,E
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0,0.07,76,29,6.8,27,EA Tiburon,E
Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0.03,82,14,8.4,5,"Z-Axis, Ltd.",E
de Blob 2,DS,2011,Platform,THQ,0.08,0.02,0.01,75,11,8.2,6,Halfbrick Studios,E
FIFA 17,PC,2016,Sports,Electronic Arts,0,0.11,0.01,84,12,4.2,160,"EA Sports, EA Vancouver",E
Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.09,66,29,6.9,108,"Sega, Dimps Corporation",E
Ookami to Koushinryou: Omiowataru Kaze,DS,2009,Adventure,ASCII Media Works,0,0,0,,,,,"",""
Invizimals: The Lost Kingdom,PS3,2013,Action,Sony Computer Entertainment,0,0.02,0,50,16,5,14,Magenta Software,E10+
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.14,83,43,7.8,30,Black Rock Studio,E
Football Academy,DS,2009,Sports,Electronic Arts,0,0.01,0,,,,,"",""
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,1.03,94,44,8.4,993,Infinity Ward,M
"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.02,,,,,"",""
Koi to Senkyo to Chocolate Portable,PSP,2012,Adventure,Kadokawa Shoten,0,0,0,,,,,"",""
Spy Hunter 2,PS2,2003,Racing,Midway Games,0.24,0.19,0.06,57,30,6.4,8,Angel Studios,T
Chaos;Head - Love Chu*Chu!,X360,2010,Adventure,5pb,0,0,0,,,,,"",""
Jake Power: Handyman,DS,2008,Adventure,Ubisoft,0.06,0,0,,,,,Ubisoft,E
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0,0,0,,,,,"",""
Emergency 2012,PC,2010,Simulation,Deep Silver,0.02,0.04,0.01,61,9,6.2,12,ValuSoft,T
ECW Hardcore Revolution,PS,1999,Fighting,Acclaim Entertainment,0.27,0.18,0.03,,,,,"",""
Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,0.06,0,0.01,61,23,7.4,14,G-Artists,T
MLB SlugFest Loaded,XB,2004,Sports,Midway Games,0.07,0.02,0,77,34,,,Point of View,T
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.22,0.09,70,45,7.1,51,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
Harry Potter and the Sorcerer's Stone,GC,2003,Action,Electronic Arts,0.06,0.02,0,62,11,8.3,6,Warthog,E
Deal or No Deal: The Banker is Back!,DS,2008,Misc,Mindscape,0,0.2,0,,,,,"",""
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.34,88,47,6.7,162,Visual Concepts,E
